"","203.112.72.179","mail.mist.edu.bd","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36","","Sun 16th Apr,2017 02:31 pm"
"","203.112.72.179","www.mist.edu.bd","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36","","Sun 16th Apr,2017 02:32 pm"
"","203.112.72.179","www.mist.edu.bd","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36","","Sun 16th Apr,2017 02:32 pm"
"","180.234.16.33","AWBL16-33.qubee.com.bd","Mozilla/5.0 (Windows NT 6.3; rv:52.0) Gecko/20100101 Firefox/52.0","","Sun 16th Apr,2017 02:34 pm"
"","180.234.16.33","AWBL16-33.qubee.com.bd","Mozilla/5.0 (Windows NT 6.3; rv:52.0) Gecko/20100101 Firefox/52.0","","Sun 16th Apr,2017 02:35 pm"
"","180.234.16.33","AWBL16-33.qubee.com.bd","Mozilla/5.0 (Windows NT 6.3; rv:52.0) Gecko/20100101 Firefox/52.0","","Sun 16th Apr,2017 02:36 pm"
"","180.234.16.33","AWBL16-33.qubee.com.bd","Mozilla/5.0 (Windows NT 6.3; rv:52.0) Gecko/20100101 Firefox/52.0","","Sun 16th Apr,2017 02:37 pm"
"","180.234.16.33","AWBL16-33.qubee.com.bd","Mozilla/5.0 (Windows NT 6.3; rv:52.0) Gecko/20100101 Firefox/52.0","","Sun 16th Apr,2017 02:38 pm"
"","180.234.16.33","AWBL16-33.qubee.com.bd","Mozilla/5.0 (Windows NT 6.3; rv:52.0) Gecko/20100101 Firefox/52.0","","Sun 16th Apr,2017 02:39 pm"
"","180.234.16.33","AWBL16-33.qubee.com.bd","Mozilla/5.0 (Windows NT 6.3; rv:52.0) Gecko/20100101 Firefox/52.0","","Sun 16th Apr,2017 02:40 pm"
"","180.234.16.33","AWBL16-33.qubee.com.bd","Mozilla/5.0 (Windows NT 6.3; rv:52.0) Gecko/20100101 Firefox/52.0","","Sun 16th Apr,2017 02:41 pm"
"","180.234.16.33","AWBL16-33.qubee.com.bd","Mozilla/5.0 (Windows NT 6.3; rv:52.0) Gecko/20100101 Firefox/52.0","","Sun 16th Apr,2017 02:42 pm"
